=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.28 10:47:00 =~=~=~=~=~=~=~=~=~=~=~=
Time,X,Y,Z,Sound
8882,9.55,0.53,-1.92,2.52
8909,9.62,0.54,-1.97,2.53
8937,9.51,0.61,-1.83,2.53
8966,9.62,0.50,-2.01,2.54
8993,9.49,0.57,-1.95,2.54
9022,9.66,0.59,-2.07,2.53
9050,9.59,0.56,-2.02,2.54
9078,9.61,0.46,-2.06,2.53
9106,9.55,0.59,-1.88,2.53
9134,9.69,0.56,-2.03,2.52
9162,9.66,0.55,-2.02,2.52
9190,9.52,0.50,-1.90,2.52
9219,9.55,0.50,-2.02,2.53
9246,9.59,0.53,-1.94,2.52
9275,9.57,0.52,-1.91,2.54
9303,9.62,0.50,-1.94,2.52
9330,9.67,0.56,-1.96,2.53
9359,9.56,0.53,-1.89,2.53
9387,9.60,0.51,-2.06,2.52
9415,9.59,0.55,-1.96,2.53
9443,9.62,0.50,-2.00,2.53
9472,9.56,0.58,-2.03,2.53
9499,9.61,0.51,-2.05,2.53
9527,9.56,0.53,-1.98,2.53
9555,9.60,0.49,-1.93,2.53
9583,9.64,0.56,-2.01,2.53
9612,9.50,0.54,-1.99,2.53
9639,9.52,0.56,-2.04,2.53
9667,9.49,0.54,-1.98,2.52
9696,9.59,0.57,-2.02,2.53
9723,9.58,0.54,-1.99,2.53
9752,9.57,0.50,-1.95,2.53
9780,9.55,0.54,-1.94,2.53
9808,9.60,0.59,-2.14,2.53
9836,9.62,0.52,-2.03,2.53
9864,9.62,0.45,-2.03,2.53
9892,9.57,0.63,-2.02,2.53
9920,9.54,0.50,-1.99,2.53
9949,9.57,0.56,-1.94,2.53
9976,9.59,0.59,-1.96,2.53
10005,9.57,0.52,-1.99,2.52
10034,9.61,0.56,-1.98,2.53
10062,9.58,0.49,-1.95,2.53
10092,9.53,0.54,-1.93,2.53
10121,9.56,0.53,-1.95,2.53
10150,9.67,0.49,-1.92,2.53
10179,9.54,0.49,-1.93,2.54
10209,9.60,0.50,-1.99,2.53
10237,9.58,0.56,-1.98,2.53
10266,9.61,0.58,-1.96,2.53
10296,9.60,0.54,-1.96,2.53
10324,9.63,0.55,-2.00,2.53
10354,9.57,0.48,-2.00,2.53
10383,9.60,0.54,-1.95,2.53
10413,9.60,0.58,-1.93,2.53
10441,9.61,0.56,-2.00,2.53
10471,9.62,0.53,-2.00,2.53
10500,9.61,0.59,-1.90,2.53
10528,10.13,0.71,-2.21,2.52
10559,9.96,0.57,-2.15,2.53
10588,10.30,0.77,-2.11,2.53
10618,9.87,0.55,-1.98,2.52
10647,10.09,0.68,-2.15,2.53
10678,9.64,0.57,-1.94,2.53
10706,9.53,0.53,-1.87,2.53
10736,9.49,0.50,-1.92,2.53
10765,9.35,0.51,-1.82,2.52
10793,9.55,0.53,-1.91,2.53
10823,9.43,0.51,-1.83,2.53
10852,9.47,0.52,-1.90,2.53
10882,9.36,0.50,-1.87,2.53
10910,9.55,0.51,-1.96,2.53
10940,9.45,0.56,-1.88,2.53
10969,9.51,0.49,-1.90,2.53
10997,9.53,0.57,-2.01,2.53
11027,9.55,0.51,-1.99,2.53
11056,9.59,0.55,-2.00,2.53
11085,9.58,0.44,-1.96,2.52
11114,9.64,0.47,-2.06,2.52
11144,9.56,0.51,-1.96,2.52
11172,9.62,0.56,-1.97,2.53
11202,9.65,0.57,-1.98,2.53
11231,9.51,0.58,-1.98,2.53
11259,9.62,0.55,-1.96,2.53
11289,9.55,0.54,-1.91,2.53
11318,9.60,0.53,-1.91,2.53
11347,9.56,0.52,-1.95,2.53
11376,9.64,0.53,-1.98,2.53
11406,9.58,0.57,-1.92,2.53
11435,9.52,0.57,-1.96,2.53
11463,9.60,0.58,-2.06,2.53
11493,9.54,0.54,-1.97,2.53
11522,9.51,0.56,-1.96,2.52
11551,9.59,0.50,-1.98,2.52
11580,9.55,0.57,-1.99,2.53
11610,9.58,0.57,-1.92,2.53
11638,9.66,0.52,-1.95,2.53
11668,9.65,0.58,-2.00,2.53
11697,9.63,0.57,-2.01,2.53
11725,9.56,0.56,-1.86,2.53
11755,9.58,0.52,-1.99,2.53
11784,9.65,0.53,-1.97,2.53
11813,9.60,0.52,-1.90,2.52
11842,9.57,0.56,-1.87,2.53
11872,9.56,0.51,-1.95,2.53
11900,9.51,0.58,-1.93,2.53
11929,9.60,0.53,-1.98,2.53
11959,9.57,0.54,-1.95,2.53
11987,9.59,0.57,-1.96,2.53
12017,9.52,0.49,-1.98,2.53
12046,9.59,0.52,-2.00,2.53
12076,9.51,0.56,-1.91,2.53
12104,9.63,0.55,-2.07,2.53
12134,9.56,0.61,-1.99,2.53
12163,9.54,0.56,-1.87,2.53
12191,9.56,0.56,-2.03,2.53
12221,9.62,0.57,-1.92,2.53
12250,9.61,0.57,-1.92,2.52
12279,9.64,0.47,-1.97,2.53
12308,9.58,0.55,-2.01,2.53
12338,9.60,0.53,-1.86,2.53
12366,9.66,0.55,-2.00,2.53
12395,9.65,0.51,-1.97,2.53
12425,9.55,0.48,-1.98,2.53
12453,9.63,0.55,-2.00,2.53
12483,9.65,0.55,-1.94,2.53
12512,9.61,0.55,-1.97,2.53
12541,9.66,0.54,-1.92,2.53
12570,9.63,0.57,-1.98,2.53
12600,9.62,0.55,-1.98,2.53
12628,9.53,0.63,-1.96,2.53
12657,9.60,0.53,-1.95,2.53
12687,9.59,0.54,-1.97,2.53
12716,9.57,0.58,-1.92,2.53
12745,9.59,0.51,-1.95,2.53
12774,9.56,0.59,-2.06,2.53
12804,9.58,0.59,-2.03,2.53
12832,9.57,0.56,-1.94,2.53
12861,9.57,0.60,-2.03,2.53
12891,9.66,0.57,-1.97,2.53
12919,9.61,0.54,-1.96,2.52
12949,9.69,0.51,-2.01,2.52
12978,9.57,0.54,-1.97,2.52
13007,9.59,0.58,-2.00,2.53
13036,9.60,0.54,-1.99,2.53
13065,9.57,0.57,-1.95,2.53
13094,9.63,0.58,-1.92,2.53
13123,9.59,0.52,-2.01,2.53
13153,9.57,0.55,-2.01,2.53
13181,9.51,0.53,-1.98,2.53
13211,9.59,0.51,-1.99,2.53
13240,9.57,0.55,-1.94,2.53
13270,9.54,0.51,-2.00,2.53
13298,9.66,0.56,-1.97,2.53
13327,9.62,0.57,-1.87,2.53
13357,9.60,0.57,-1.96,2.53
13385,9.63,0.53,-2.02,2.53
13415,9.60,0.57,-1.88,2.53
13444,9.62,0.54,-1.94,2.53
13473,9.67,0.52,-2.00,2.53
13502,9.58,0.60,-1.99,2.53
