Time,X,Y,Z,Sound
11911,12.07,5.60,3.54,2.55
11940,13.54,-0.49,1.57,2.52
11970,7.04,-3.18,2.06,2.55
11999,11.32,-1.78,0.56,2.55
12029,7.23,-4.30,-6.70,2.55
12059,9.28,-5.31,-1.30,2.53
12090,10.59,-1.50,-4.52,2.54
12121,7.31,-2.97,-3.03,2.53
12151,9.24,0.15,0.20,2.53
12179,10.67,-1.01,1.85,2.54
12210,9.40,-5.25,-0.46,2.53
12239,11.13,-2.24,-2.93,2.54
12271,10.62,3.53,-6.22,2.54
12301,5.88,-0.25,-3.47,2.55
12331,9.36,0.30,-1.51,2.53
12360,12.43,-1.60,-2.79,2.55
12391,7.07,1.78,-2.20,2.54
12421,10.21,-1.34,-0.15,2.56
12451,13.25,-1.20,0.25,2.55
12482,10.83,-3.17,-0.89,2.54
12513,10.22,-0.82,-0.38,2.53
12545,5.11,-1.22,-4.20,2.54
12574,11.65,-2.56,3.45,2.53
12605,9.58,-0.66,-2.92,2.54
12635,8.96,-4.16,-3.59,2.53
12664,10.58,-1.10,0.87,2.53
12695,11.21,-3.68,-1.66,2.56
12726,9.91,-0.93,-1.00,2.57
12756,8.49,-0.03,1.87,2.53
12785,13.59,-0.19,2.46,2.53
12816,10.91,-0.47,-2.55,2.53
12847,4.93,-0.89,-4.03,2.55
12877,3.82,-1.86,-6.20,2.54
12907,9.48,0.45,-0.75,2.55
12937,8.89,-2.08,-1.38,2.53
12966,9.82,-4.20,-5.96,2.54
12996,15.92,0.50,4.83,2.53
13026,10.35,-1.74,-1.89,2.54
13057,5.93,-1.31,-1.60,2.54
13087,10.10,-4.58,-5.32,2.55
13118,9.72,2.47,-2.99,2.55
13148,12.13,1.48,-2.30,2.55
13177,8.51,-3.45,-1.30,2.54
13208,8.94,-4.30,-1.87,2.53
13238,6.57,-4.33,-6.96,2.54
13268,12.92,-6.81,-5.22,2.54
13299,7.69,-1.39,-3.38,2.54
13329,12.66,-2.91,0.35,2.54
13360,10.32,-4.50,3.61,2.54
13389,10.30,-2.24,2.23,2.54
13420,9.76,-0.68,-1.09,2.54
13450,14.55,-2.11,-1.97,2.55
13481,8.22,4.19,0.38,2.54
13509,15.36,-2.58,0.76,2.54
13540,7.48,-2.24,-1.74,2.54
13570,6.84,1.84,3.63,2.53
13598,8.47,-1.58,-0.72,2.54
13628,8.27,-1.48,-1.76,2.53
13658,15.66,-2.80,2.38,2.54
13688,16.88,-5.92,6.29,2.55
